parent,child
h5,g__Mycoplasma|s__arthritidis
PantothenicacidVitaminB5PantothenateConsumptionimport,g__Mycoplasma|s__penetrans
h3,g__Flavivirga|s__eckloniae
h7,g__Serratia|s__proteamaculans
p__Proteobacteria,g__Pseudomonas|s__sp. LBUM920
h9,g__Colwellia|s__beringensis
h2,g__Bdellovibrio|s__exovorus
h2,g__Hymenobacter|s__sp. 17J36-26
output,TaurochenodeoxycholateConsumptionimport
h6,g__Fibrella|s__sp. ES10-3-2-2
h0,g__Lactococcus|s__raffinolactis
h7,g__Candidatus Planktophila|s__vernalis
h8,g__Pseudomonas|s__sp. MPDS
h6,g__Thermoanaerobacter|s__ethanolicus
h1,g__Streptomyces|s__cinereoruber
h6,g__Turicibacter|s__sanguinis
h2,g__Chryseobacterium|s__sp.
h2,g__Klebsiella|s__sp. P1CD1
h5,g__Chlamydia|s__abortus
h0,g__Paraclostridium|s__bifermentans
h2,g__Mycoplasma|s__haemocanis
h4,g__Peribacillus|s__asahii
h5,g__Shewanella|s__putrefaciens
h6,g__Bacillus|s__gobiensis
h8,g__Pectobacterium|s__parmentieri
p__Proteobacteria,g__Brevundimonas|s__vancanneytii
h7,g__Burkholderia|s__sp. MSMB0852
h6,g__Coxiella|s__Candidatus Coxiella mudrowiae
h8,g__Rickettsia|s__endosymbiont of Bemisia tabaci
h6,g__Litoricola|s__lipolytica
h5,g__Xanthomonas|s__euroxanthea
h7,g__Anoxybacillus|s__gonensis
94,g__Corynebacterium|s__urealyticum
227,g__Mycoplasma|s__mobile
h3,g__Acidaminococcus|s__intestini
h6,g__Mycolicibacterium|s__tokaiense
h9,g__Staphylococcus|s__hominis
h7,g__Aeromonas|s__hydrophila
h6,g__Clostridium|s__botulinum
h7,g__Micromonospora|s__echinospora
h3,g__Nocardioides|s__sp. 603
h4,g__Staphylococcus|s__piscifermentans
h7,g__Desulfurispirillum|s__indicum
h0,g__Aeromonas|s__sp. CA23
h1,g__Saccharopolyspora|s__erythraea
h1,g__Paraburkholderia|s__dokdonella
p__Cyanobacteria,g__Oscillatoria|s__nigro-viridis
31,g__Dyella|s__japonica
h5,g__Campylobacter|s__showae
p__Proteobacteria,g__Vibrio|s__parahaemolyticus
h8,g__Butyricicoccus|s__sp. GAM44
h7,g__Delftia|s__acidovorans
h8,g__Agromyces|s__sp. MF30-A
h8,g__Marinomonas|s__mediterranea
h3,g__Amycolatopsis|s__methanolica
h0,g__Myroides|s__phaeus
h4,g__Paraphotobacterium|s__marinum
h6,g__Bacillus|s__sp. 1s-1
h9,g__Mesoplasma|s__lactucae
h4,g__Pseudomonas|s__multiresinivorans
h6,g__Thiomicrorhabdus|s__aquaedulcis
h5,g__Brachybacterium|s__vulturis
h6,g__Salinibaculum|s__litoreum
h8,g__Paenibacillus|s__jilunlii
h8,g__Acinetobacter|s__sp. WCHAc010052
p__Firmicutes,g__Lactobacillus|s__sp. PC121B
h3,g__Hymenobacter|s__sp. S2-20-2
h1,g__Enterobacter|s__cloacae
h3,g__Candidatus Nardonella|s__endosymbiont of Pachyrhynchus infernalis
h9,g__Pandoraea|s__apista
64,g__Mycoplasma|s__felis
h4,g__Thermococcus|s__piezophilus
h8,g__Campylobacter|s__gracilis
p__Proteobacteria,g__Bradyrhizobium|s__vignae
h9,g__Rickettsia|s__felis
h8,g__Neorickettsia|s__helminthoeca
p__Proteobacteria,g__Legionella|s__adelaidensis
h3,g__Achromobacter|s__sp. B7
h0,g__Arthrobacter|s__sp. QXT-31
h0,g__Saccharopolyspora|s__sp. ASAGF58
h1,g__Mycoplasma|s__citelli
h5,g__Marinobacter|s__sp. NP-4(2019)
h5,g__Rhizobium|s__tropici
h6,g__Mycoplasma|s__conjunctivae
h8,g__Microvirgula|s__aerodenitrificans
h6,g__Erythrobacter|s__sp. THAF29
h9,g__Nostoc|s__sp. 'Peltigera membranacea cyanobiont' N6
h7,g__Sanguibacter|s__sp. HDW7
h2,g__Acinetobacter|s__sp. M131
h6,g__Kocuria|s__flava
h7,g__Oxalobacter|s__formigenes
h0,g__Streptomyces|s__sp. RPA4-2
h3,g__Pseudoalteromonas|s__sp. Scap25
h0,g__Simiduia|s__agarivorans
h1,g__Roseiflexus|s__sp. RS-1
h1,g__Bordetella|s__trematum
h2,g__Pseudoalteromonas|s__aliena
h5,g__Carboxydothermus|s__hydrogenoformans
h5,g__Streptococcus|s__parasanguinis
h5,g__Bartonella|s__apis
h9,g__Mobiluncus|s__curtisii
MethaneCH4Productionexport,g__Methanocaldococcus|s__vulcanius
h2,g__Gramella|s__flava
h4,g__Paenarthrobacter|s__ureafaciens
h5,g__Enterococcus|s__avium
h6,g__Bradyrhizobium|s__sp. CCBAU 53338
194,g__Sterolibacterium|s__denitrificans
h4,g__Roseobacter|s__litoralis
6,g__Klebsiella|s__variicola
p__Firmicutes,g__Caproiciproducens|s__sp. 7D4C2
h5,g__Bradyrhizobium|s__guangdongense
h9,g__Nocardia|s__wallacei
h3,g__Halomonas|s__elongata
h3,g__Streptomyces|s__olivoreticuli
h4,g__Halorussus|s__sp. RC-68
h8,g__Streptomyces|s__griseofuscus
h6,g__Cupriavidus|s__pauculus
h2,g__Bartonella|s__krasnovii
output,L-SerineSerineD-SerineConsumptionimport
h1,g__Corynebacterium|s__camporealensis
h4,g__Mycoplasma|s__salivarium
h3,g__Alcaligenes|s__faecalis
h1,g__Candidatus Ishikawaella|s__capsulata
h2,g__Dysosmobacter|s__welbionis
h4,g__Mesorhizobium|s__sp. Pch-S
h2,g__Burkholderia|s__dolosa
h3,g__Pseudomonas|s__fluorescens
EthanolProductionexport,g__Pseudomonas|s__aeruginosa
h6,g__Biomaibacter|s__acetigenes
DextrinMaltotrioseMaltodextrinMaltohexaoseMaltotetraoseMaltooligosaccharideConsumptionimport,g__Clostridium|s__botulinum
h1,g__Octadecabacter|s__arcticus
PyruvateConsumptionimport,g__Clostridium|s__acetobutylicum
h9,g__Corynebacterium|s__casei
h9,g__Streptomyces|s__koyangensis
p__Firmicutes,g__Staphylococcus|s__sp. M0911
h2,g__Phascolarctobacterium|s__faecium
h6,g__Tamlana|s__sp. UJ94
h6,g__Acidithiobacillus|s__ferrivorans
h7,g__Halopiger|s__xanaduensis
h9,g__Rhodoluna|s__limnophila
h0,g__Microbacterium|s__paraoxydans
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,g__Lactobacillus|s__crispatus
h8,g__Vibrio|s__furnissii
CO2Consumptionimport,g__Methanocaldococcus|s__jannaschii
h8,g__Cyclobacterium|s__marinum
h6,g__Peptoniphilus|s__harei
h7,g__Mycolicibacterium|s__fortuitum
h2,g__Cellulomonas|s__sp. H30R-01
h6,g__Halomonas|s__sp. PA16-9
h3,g__Mycoplasma|s__Candidatus Mycoplasma haemolamae
h6,g__Pseudonocardia|s__sp. CGMCC 4.1532
h3,g__Pseudomonas|s__sp. NP-1
h6,g__Microbacterium|s__protaetiae
h7,g__Yokenella|s__regensburgei
h8,g__Aeromonas|s__schubertii
h1,g__Neisseria|s__sp. KEM232
h4,g__Thermomonas|s__sp. XSG
EthanolProductionexport,g__Streptococcus|s__salivarius
h1,g__Mycolicibacterium|s__aurum
h9,g__Clostridium|s__carboxidivorans
h9,g__Methanobrevibacter|s__ruminantium
h8,g__Pediococcus|s__inopinatus
h8,g__Mycobacterium|s__sp. QIA-37
h3,g__Yersinia|s__intermedia
h4,g__Novosphingobium|s__pentaromativorans
h3,g__Candidatus Endolissoclinum|s__faulkneri
h4,g__Acinetobacter|s__lwoffii
h7,g__Marinomonas|s__mediterranea
h8,g__Delftia|s__acidovorans
h9,g__Mesorhizobium|s__sp. M1B.F.Ca.ET.045.04.1.1
p__Firmicutes,g__Pelosinus|s__fermentans
104,g__Cyclobacterium|s__marinum
h5,g__Corynebacterium|s__matruchotii
h6,g__Serratia|s__ureilytica
h0,g__Francisella|s__uliginis
h8,g__Virgibacillus|s__phasianinus
h9,g__Empedobacter|s__brevis
h9,g__Brevibacillus|s__formosus
h9,g__Francisella|s__halioticida
h0,g__Kitasatospora|s__setae
p__Firmicutes,g__Staphylococcus|s__pseudintermedius
h0,g__Edwardsiella|s__piscicida
h4,g__Chryseobacterium|s__sp. G0201
h6,g__Synechococcus|s__sp. BOUM118
h8,g__Enterobacter|s__cloacae
output,12-EthanediolEthyleneglycolConsumptionimport
p__Proteobacteria,g__Mesorhizobium|s__sp. INR15
h4,g__Lactiplantibacillus|s__Lactobacillus paraplantarum
h8,g__Azospirillum|s__humicireducens
h5,g__Sinorhizobium|s__sp. M14
h8,g__Achromobacter|s__insolitus
h4,g__Rahnella|s__sp. WMR66
h9,g__Paenibacillus|s__sp. Y412MC10
153,g__Pediococcus|s__pentosaceus
h5,g__Nostoc|s__linckia
h5,g__Pantoea|s__agglomerans
h1,g__Clostridium|s__thermarum
h1,g__Sphingosinithalassobacter|s__sp. CS137
2,g__Anaerohalosphaera|s__lusitana
h7,g__Blattabacterium|s__punctulatus
h4,g__Acidothermus|s__cellulolyticus
h9,g__Hydrogenobaculum|s__sp. Y04AAS1
h3,g__Blautia|s__producta
h7,g__Methylophilus|s__medardicus
h5,g__Sphingosinithalassobacter|s__sp. zrk23
h1,g__Lactococcus|s__garvieae
output,185
h3,g__Erysipelothrix|s__sp. HDW6B
p__Euryarchaeota,g__Candidatus Methanomethylophilus|s__alvus
h1,g__Pectobacterium|s__parmentieri
h6,g__Paenibacillus|s__sp. JDR-2
LactoseConsumptionimport,g__Bifidobacterium|s__dentium
h1,g__Arachidicoccus|s__soli
p__Proteobacteria,g__Phenylobacterium|s__zucineum
h1,g__Roseitalea|s__porphyridii
H2HydrogenProductionexport,g__Roseburia|s__intestinalis
h4,g__Wolbachia|s__endosymbiont of Drosophila simulans
0,g__Rufibacter|s__tibetensis
h0,g__Mycoplasma|s__sp. NEAQ87857
h3,g__Bartonella|s__sp. TT0105
h4,g__Bacillus|s__sp. N1-1
h2,g__Streptomyces|s__chromofuscus
h6,g__Vitreoscilla|s__sp. C1
h5,g__Natronorubrum|s__aibiense
h6,g__Paracoccus|s__mutanolyticus
h7,g__Shigella|s__boydii
h9,g__Bacillus|s__atrophaeus
h6,g__Sanguibacter|s__keddieii
h7,g__Ureibacillus|s__thermosphaericus
104,g__Francisella|s__sp. LA112445
h1,g__Amycolatopsis|s__benzoatilytica
207,g__Vibrio|s__tubiashii
h1,g__Fervidobacterium|s__pennivorans
h9,g__Odoribacter|s__splanchnicus
h0,g__Haemophilus|s__parahaemolyticus
h6,g__Streptomyces|s__sp. Y27
h1,g__Candidatus Nitrosocosmicus|s__exaquare
h4,g__Serratia|s__marcescens
h5,g__Marmoricola|s__scoriae
h8,g__Chitinimonas|s__arctica
h1,g__Massilia|s__sp. Se16.2.3
h2,g__Streptomyces|s__lavendulae
h3,g__Gemmatirosa|s__kalamazoonesis
h3,g__Bacillus|s__atrophaeus
p__Actinobacteria,g__Streptacidiphilus|s__sp. P02-A3a
h5,g__Entomoplasma|s__somnilux
h5,g__Rhodoferax|s__sp. BAB1
p__Proteobacteria,g__Acinetobacter|s__pittii
h0,g__Roseimicrobium|s__sp. ORNL1
h9,g__Streptomyces|s__sp. Y27
p__Actinobacteria,g__Nocardia|s__yunnanensis
h7,g__Acinetobacter|s__soli
h1,g__Collimonas|s__pratensis
h2,g__Indioceanicola|s__profundi
h9,g__Paenibacillus|s__rhizovicinus
h0,g__Pseudomonas|s__sp. R32
h9,g__Pseudomonas|s__sp. UW4
h1,g__Pseudomonas|s__alcaliphila
h2,g__Helicobacter|s__pullorum
h6,g__Thiomonas|s__sp. X19
h7,g__Anaerobutyricum|s__hallii
h7,g__Enterococcus|s__sp. FDAARGOS_375
h0,g__Pseudomonas|s__sp. HLS-6
h7,g__Burkholderia|s__metallica
h7,g__Polynucleobacter|s__difficilis
h4,g__Deinococcus|s__geothermalis
h5,g__Mycolicibacterium|s__sp. CBMA 213
h7,g__Enterovibrio|s__Candidatus Enterovibrio luxaltus
h0,g__Wolbachia|s__endosymbiont of Ctenocephalides felis wCfeT
h5,g__Peribacillus|s__muralis
h4,g__Streptomyces|s__rutgersensis
h6,g__Mycolicibacterium|s__phlei
h0,g__Luteimonas|s__yindakuii
PantothenicacidVitaminB5PantothenateConsumptionimport,g__Leuconostoc|s__mesenteroides
h2,g__Spiroplasma|s__floricola
h9,g__Halarchaeum|s__sp. CBA1220
h7,g__Mixta|s__intestinalis
h2,g__Riemerella|s__anatipestifer
h3,g__Burkholderia|s__sp. KJ006
h5,g__Roseovarius|s__mucosus
h0,g__Thioalkalivibrio|s__sp. K90mix
h7,g__Bacillus|s__pseudomycoides
h4,g__Vibrio|s__astriarenae
h7,g__Yersinia|s__enterocolitica
h2,g__Mycobacterium|s__paraseoulense
h3,g__Chitinophaga|s__sp. MD30
h2,g__Campylobacter|s__sp. RM6914
h3,g__Staphylospora|s__marina
h2,g__Candidatus Cardinium|s__Cardinium endosymbiont of Bemisia tabaci
h7,g__Microbacterium|s__sp. WY121
h4,g__Maribacter|s__sp. HTCC2170
h5,g__Petrocella|s__atlantisensis
h6,g__Bacillus|s__sp. HNA3
DimethylamineProductionexport,g__Escherichia|s__coli
p__Proteobacteria,g__Pandoraea|s__sp. XY-2
h5,g__Paenibacillus|s__ihbetae
h1,g__Synechococcus|s__sp. MIT S9220
h2,g__Azoarcus|s__sp. M9-3-2
h7,g__Xenorhabdus|s__nematophila
321,g__Aminobacter|s__sp. MDW-2
h1,g__Curtobacterium|s__sp. MR_MD2014
h6,g__Rhizobium|s__sp. 11515TR
h3,g__Arthrobacter|s__sp. ZXY-2
h9,g__Hirschia|s__baltica
h1,g__Methanohalophilus|s__mahii
h5,g__Pasteurella|s__skyensis
h7,g__Arthrobacter|s__sp. QXT-31
h7,g__Saccharopolyspora|s__sp. ASAGF58
h4,g__Streptomyces|s__griseoviridis
h4,g__Pseudoalteromonas|s__marina
h9,g__Bacillus|s__sp. SDLI1
h5,g__Planctopirus|s__limnophila
h0,g__Candidatus Phytoplasma|s__Maize bushy stunt phytoplasma
h0,g__Cycloclasticus|s__sp. PY97N
p__Bacteroidetes,g__Elizabethkingia|s__meningoseptica
h8,g__Phaeobacter|s__gallaeciensis
300,g__Alteromonas|s__macleodii
h0,g__Aeromonas|s__sobria
h9,g__Mycobacterium|s__kubicae
h1,g__Lactobacillus|s__sp. D1501
h6,g__Streptomyces|s__sp. TLI_053
FolicacidFolateVitaminB9Consumptionimport,g__Clostridium|s__novyi
h5,g__Olsenella|s__umbonata
h9,g__Verrucomicrobium|s__sp. GAS474
h5,g__Eubacterium|s__[Eubacterium] cellulosolvens
h6,g__Achromobacter|s__denitrificans
h0,g__Kosakonia|s__sp. SMBL-WEM22
h7,g__Methylobacterium|s__aquaticum
h6,g__Dermacoccus|s__nishinomiyaensis
h0,g__Paenibacillus|s__odorifer
h4,g__Sphingomonas|s__lacunae
h4,g__Dictyoglomus|s__turgidum
h1,g__Massilistercora|s__timonensis
h2,g__Ehrlichia|s__sp. HF
h7,g__Companilactobacillus|s__Lactobacillus zhachilii
h7,g__Stigmatella|s__aurantiaca
h3,g__Nostoc|s__carneum
h8,g__Kushneria|s__marisflavi
p__Proteobacteria,g__Sphingomonas|s__sp. C8-2
h1,g__Bradyrhizobium|s__sp. CCBAU 051011
h5,g__Citrobacter|s__sp. RHBSTW-00127
h8,g__Nonlabens|s__dokdonensis
h9,g__Ciceribacter|s__thiooxidans
p__Actinobacteria,g__Streptomyces|s__vietnamensis
h5,g__Gramella|s__flava
h8,g__Sphingosinithalassobacter|s__sp. zrk23
h2,g__Arthrobacter|s__sp. PAMC 25486
h9,g__Citrobacter|s__sp. RHBSTW-00424
p__Firmicutes,g__Faecalibacterium|s__prausnitzii
h1,g__Lysinibacillus|s__timonensis
h8,g__Mucilaginibacter|s__paludis
h8,g__Staphylococcus|s__auricularis
h0,g__Micromonospora|s__echinaurantiaca
h3,g__Advenella|s__mimigardefordensis
h5,g__Thermanaerovibrio|s__velox
p__Firmicutes,g__Selenomonas|s__sp. oral taxon 920
h5,g__Ligilactobacillus|s__ruminis
h3,g__Hymenobacter|s__sp. 17J36-26
h7,g__Chitinolyticbacter|s__meiyuanensis
h8,g__Planococcus|s__plakortidis
h9,g__Escherichia|s__sp. SCLE84
113,g__Gemmatimonas|s__phototrophica
h2,g__Mycolicibacterium|s__chitae
h6,g__Rickettsia|s__sibirica
h7,g__Leptolyngbya|s__sp. NIES-3755
h8,g__Corynebacterium|s__glaucum
h7,g__Geobacillus|s__genomosp. 3
h8,g__Pseudomonas|s__sp. CC6-YY-74
h2,g__Rhizobium|s__tropici
h8,g__Roseovarius|s__sp. THAF9
D-GlucoseGlucoseConsumptionimport,g__Lactobacillus|s__gasseri
h9,g__Streptococcus|s__sp. DAT741
39,g__Congregibacter|s__litoralis
h4,g__Micromonospora|s__sp. L5
h6,g__Pseudomonas|s__sediminis
h0,g__Aureimonas|s__sp. AU20
p__Bacteroidetes,g__Pedobacter|s__sp. KBS0701
h9,g__Acetobacter|s__persici
62,g__Pseudomonas|s__sp. CCOS 191
h7,g__Stenotrophomonas|s__sp. Pemsol
h5,g__Edwardsiella|s__anguillarum
h8,g__Shewanella|s__xiamenensis
h1,g__Anoxybacillus|s__caldiproteolyticus
h4,g__Thermus|s__parvatiensis
h1,g__Altererythrobacter|s__sp. TH136
h3,g__Caldisericum|s__exile
h8,g__Flavobacterium|s__sp.
p__Crenarchaeota,g__Acidianus|s__ambivalens
output,52
SuccinateConsumptionimport,g__Desulfovibrio|s__desulfuricans
h3,g__Nitrososphaera|s__viennensis
h3,g__Sulfurimonas|s__gotlandica
h4,g__Sporomusa|s__termitida
h6,g__Curtobacterium|s__sp. csp3
h8,g__Pedobacter|s__sp. CJ43
h2,g__Leclercia|s__sp. W17
h6,g__Acidovorax|s__sp. 16-35-5
h1,g__Cutibacterium|s__granulosum
h9,g__Polaribacter|s__sp. KT 15
PantothenicacidVitaminB5PantothenateConsumptionimport,g__Lactobacillus|s__amylolyticus
h6,g__Arenimonas|s__daejeonensis
h6,g__Thiocystis|s__violascens
h7,g__Corynebacterium|s__pseudopelargi
h7,g__Leisingera|s__sp. NJS201
h3,g__Bacteroides|s__sp. A1C1
h5,g__Anoxybacillus|s__gonensis
h3,g__Paenibacillus|s__sp. FSL P4-0081
h2,g__Prevotella|s__fusca
h2,g__Apibacter|s__raozihei
h4,g__Ligilactobacillus|s__Lactobacillus acidipiscis
h8,g__Pseudomonas|s__sp. Lz4W
h2,g__Mycoplasma|s__hominis
h2,g__Brevundimonas|s__sp. MF30-B
h3,g__Nitratiruptor|s__Pseudomonas sp. ADP
h8,g__Sulfitobacter|s__sp. DFL14
h8,g__Komagataeibacter|s__nataicola
1,g__Dictyoglomus|s__thermophilum
h8,g__Aminobacter|s__sp. MDW-2
h9,g__Shewanella|s__sp. MR-7
h1,g__Sulfolobus|s__sp. NOB8H2
59,g__Bradyrhizobium|s__sp. BTAi1
p__Deferribacteres,g__Denitrovibrio|s__acetiphilus
h0,g__Halomonas|s__sp. Y2R2
h0,g__Sinorhizobium|s__sp. RAC02
h5,g__Bacteroides|s__coprosuis
h6,g__Citrobacter|s__sp. RHBSTW-00944
h4,g__Campylobacter|s__ornithocola
h7,g__Hymenobacter|s__sp. NBH84
h3,g__Anaerococcus|s__mediterraneensis
h9,g__Pseudomonas|s__guangdongensis
h4,g__Rathayibacter|s__festucae
h9,g__Aliarcobacter|s__faecis
h3,g__Morganella|s__morganii
p__Actinobacteria,g__Mycolicibacterium|s__chitae
h4,g__Borreliella|s__burgdorferi
h6,g__Pseudomonas|s__guangdongensis
h4,g__Rhizorhabdus|s__dicambivorans
h7,g__Lysobacter|s__sp. TY2-98
h1,g__Devosia|s__sp. I507
h5,g__Mycoplasma|s__bovis
h0,g__Pantoea|s__sp. SM3640
h7,g__Vibrio|s__owensii
h9,g__Microterricola|s__viridarii
h2,g__Synechococcus|s__sp. ROS8604
h3,g__Acinetobacter|s__wanghuae
h6,g__Rhodococcus|s__biphenylivorans
h2,g__Bacillus|s__sp. ms-22
h4,g__Citrobacter|s__amalonaticus
h7,g__Haematospirillum|s__jordaniae
p__Proteobacteria,g__Thioploca|s__ingrica
h7,g__Bacillus|s__tropicus
p__Bacteroidetes,g__Altibacter|s__sp. ALE3EI
h7,g__Streptomyces|s__sp. FR1
h4,g__Novosphingobium|s__sp. P6W
h4,g__Parasaccharibacter|s__apium
h8,g__Streptomyces|s__gilvosporeus
h0,g__Hydrogenovibrio|s__crunogenus
h2,g__Brevibacterium|s__sp. CS2
h2,g__Cellvibrio|s__sp. PSBB006
h3,g__Lactobacillus|s__sp. CBA3605
h9,g__Arthrobacter|s__sp. FB24
h3,g__Synechococcus|s__sp. RCC307
h4,g__Candidatus Doolittlea|s__endobia
h0,g__Streptomyces|s__sp. DSM 40868
h4,g__Bradyrhizobium|s__sp. CCBAU 051011
h5,g__Gordonia|s__westfalica
p__Euryarchaeota,g__Halorubrum|s__sp. T3
h2,g__Enterobacter|s__soli
h4,g__Methylacidiphilum|s__infernorum
h8,g__Mycolicibacterium|s__mageritense
h8,g__Microbulbifer|s__sp. YPW1
h9,g__Pseudomonas|s__taiwanensis
h1,g__Ectothiorhodospira|s__sp. BSL-9
h3,g__Actinobacillus|s__equuli
h4,g__Enterobacter|s__sp. ODB01
p__Proteobacteria,g__Erythrobacter|s__aureus
h3,g__Dinoroseobacter|s__shibae
h3,g__Thermococcus|s__gammatolerans
h1,g__Klebsiella|s__quasivariicola
h4,g__Methanobacterium|s__congolense
h3,g__Wolbachia|s__endosymbiont of Trichogramma pretiosum
h1,g__Pseudorhodobacter|s__sp. S12M18
h1,g__Citrobacter|s__freundii
h9,g__Algoriphagus|s__machipongonensis
p__Proteobacteria,g__Citrobacter|s__freundii complex sp. CFNIH4
h5,g__Streptomyces|s__sp. 2114.2
h2,g__Pseudomonas|s__sp. TUM18999
p__Proteobacteria,g__Francisella|s__halioticida
h3,g__Bacillus|s__sp. X1(2014)
h3,g__Pseudomonas|s__sp. LG1E9
h0,g__Stenotrophomonas|s__sp. ASS1
h3,g__Acinetobacter|s__indicus
h4,g__Rathayibacter|s__sp. VKM Ac-2760
h9,g__Stenotrophomonas|s__sp. WZN-1
h3,g__Proteus|s__sp. ZN5
h5,g__Pseudomonas|s__sp. LAB-08
h3,g__Francisella|s__salina
h4,g__Lactobacillus|s__kullabergensis
h5,g__Pseudomonas|s__azotoformans
h6,g__Pedobacter|s__cryoconitis
h2,g__Oceanihabitans|s__sp. IOP_32
p__Proteobacteria,g__Burkholderia|s__sp. KBS0801
h4,g__Sulfurimonas|s__denitrificans
h7,g__Vibrio|s__sp. 2521-89
h7,g__Prevotella|s__melaninogenica
h2,g__Clostridium|s__cellulovorans
h9,g__Desulfosporosinus|s__meridiei
h4,g__Tepidanaerobacter|s__acetatoxydans
h2,g__Abiotrophia|s__defectiva
h6,g__Erwinia|s__amylovora
5,g__Turicibacter|s__sp. H121
D-FructuronateConsumptionimport,g__Escherichia|s__coli
h1,g__Bacillus|s__miscanthi
h1,g__Olivibacter|s__sp. LS-1
h1,g__Lactobacillus|s__sp. CBA3606
h2,g__Paracoccus|s__yeei
h3,g__Methylacidiphilum|s__kamchatkense
h4,g__Kaistella|s__Chryseobacterium antarcticum
h1,g__Pseudomonas|s__sp. CMR12a
h3,g__Aerococcus|s__urinaeequi
h0,g__Candidatus Phytoplasma|s__Onion yellows phytoplasma
h5,g__Pseudomonas|s__sp. BIGb0427
h1,g__Nonomuraea|s__sp. ATCC 55076
h6,g__Blautia|s__coccoides
h1,g__Ferrovibrio|s__terrae
h3,g__Klebsiella|s__sp. MPUS7
h6,g__Pseudomonas|s__sp. DY-1
h7,g__Francisella|s__frigiditurris
h1,g__Psychrobacter|s__sp. 28M-43
h9,g__Candidatus Annandia|s__adelgestsuga
h9,g__Pseudonocardia|s__sp. HH130630-07
h9,g__Mesorhizobium|s__erdmanii
h1,g__Rickettsia|s__peacockii
h4,g__Burkholderia|s__ambifaria
h5,g__Clostridium|s__novyi
h7,g__Serratia|s__sp. KUDC3025
h5,g__Nonlabens|s__sp. MJ115
h8,g__Ehrlichia|s__muris
h8,g__Neoasaia|s__chiangmaiensis
h9,g__Gryllotalpicola|s__protaetiae
h0,g__Sphingomonas|s__sediminicola
h4,g__Polaribacter|s__sp. L12M9
h0,g__Prochlorococcus|s__sp. MIT 0604
h1,g__Marinobacter|s__sp. CP1
h9,g__Alistipes|s__onderdonkii
h2,g__Corynebacterium|s__genitalium
p__Proteobacteria,g__Arcobacter|s__aquimarinus
CO2Productionexport,g__Lactobacillus|s__acidophilus
h3,g__Chryseobacterium|s__aureum
p__Actinobacteria,g__Arthrobacter|s__dokdonellae
h1,g__Sphingorhabdus|s__sp. YGSMI21
h2,g__Bradyrhizobium|s__sp. SK17
h7,g__Desulfobulbus|s__propionicus
h9,g__Candidatus Blochmannia|s__Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri
h3,g__Phocaeicola|s__dorei
h7,g__Streptomyces|s__leeuwenhoekii
FormateConsumptionimport,g__Desulfovibrio|s__salexigens
h4,g__Nocardia|s__brasiliensis
h6,g__Mycobacterium|s__sp. WY10
h8,g__Endozoicomonas|s__montiporae
h5,g__Luteimonas|s__chenhongjianii
h7,g__Caminibacter|s__mediatlanticus
h4,g__Pseudomonas|s__sp. R11-23-07
h9,g__Paenibacillus|s__donghaensis
h2,g__Pelosinus|s__sp. UFO1
h2,g__Aeromicrobium|s__erythreum
h6,g__Neisseria|s__shayeganii
h4,g__Roseimaritima|s__ulvae
h7,g__Pseudoarcobacter|s__acticola
h9,g__Streptococcus|s__sp. A12
h3,g__Candidatus Nitrosotalea|s__devanaterra
43,g__Kitasatospora|s__setae
h7,g__Synechococcus|s__sp. NOUM97013
h7,g__Vibrio|s__coralliilyticus
p__Actinobacteria,g__Gordonia|s__sp. HY186
h1,g__Bisgaardia|s__hudsonensis
h5,g__Microcoleus|s__sp. PCC 7113
h7,g__Microbacterium|s__sp. 10M-3C3
h5,g__Alkalihalobacillus|s__krulwichiae
h9,g__Streptomyces|s__formicae
p__Acidobacteria,g__Terriglobus|s__albidus
h8,g__Streptomyces|s__scabiei
h2,g__Corynebacterium|s__doosanense
h6,g__Streptomyces|s__leeuwenhoekii
h4,g__Microcystis|s__sp. MC19
h1,g__Kozakia|s__baliensis
h4,g__Paenibacillus|s__sp. FSL R7-0331
h0,g__Moraxella|s__cuniculi
h9,g__Thalassospira|s__xiamenensis
h7,g__Sphingomonas|s__sp. SH
p__Actinobacteria,g__Streptomyces|s__nitrosporeus
h0,g__Actinomyces|s__radicidentis
h1,g__Thiohalobacter|s__thiocyanaticus
h7,g__Paraoerskovia|s__marina
h3,g__Bradymonas|s__sediminis
h5,g__Mycobacterium|s__leprae
15,g__Chitinimonas|s__arctica
h3,g__Pseudomonas|s__xanthomarina
h7,g__Novosphingobium|s__sp. ES2-1
h2,g__Rhodococcus|s__sp. X156
h6,g__Furfurilactobacillus|s__Lactobacillus rossiae
h9,g__Elizabethkingia|s__sp. JS20170427COW
h9,g__Paenibacillus|s__polymyxa
h9,g__Glutamicibacter|s__nicotianae
h0,g__Psychrobacter|s__sp. YP14
h9,g__Tessaracoccus|s__flavescens
output,335
h2,g__Costertonia|s__aggregata
h2,g__Parvibaculum|s__lavamentivorans
h3,g__Capnocytophaga|s__sp. H2931
h3,g__Brevundimonas|s__sp. LM2
h6,g__Mesorhizobium|s__oceanicum
h0,g__Gilliamella|s__apicola
h7,g__Odoribacter|s__splanchnicus
h0,g__Sulfurimonas|s__autotrophica
h8,g__Hydrogenophilus|s__thermoluteolus
h9,g__Bacillus|s__xiamenensis
h9,g__Raoultella|s__Plautia stali symbiont
p__Proteobacteria,g__Achromobacter|s__insolitus
